phen_taxonomic,phen_id,phen_label,associated_process,synonym,plural_of,wikipedia_page
anagenesis,anagenesis,anagenesis,,,,https://en.wikipedia.org/wiki/Anagenesis
aneurysm,aneurysm,aneurysm,,,,https://en.wikipedia.org/wiki/Aneurysm
antibiosis,antibiosis,antibiosis,,,,https://en.wikipedia.org/wiki/Antibiosis
apoptosis,apoptosis,apoptosis,,,,https://en.wikipedia.org/wiki/Apoptosis
atmosphere,atmosphere,atmosphere,,,,http://en.wikipedia.org/wiki/Atmosphere
autolysis,autolysis,autolysis,,,,https://en.wikipedia.org/wiki/Autolysis_(biology)
autopsy,autopsy,autopsy,,,,https://en.wikipedia.org/wiki/Autopsy
avalanche,avalanche,avalanche,avalanche,,,
baseflow,baseflow,baseflow,flow,,,https://en.wikipedia.org/wiki/Baseflow
bergeron-findeisen-process,bergeron-findeisen-process,bergeron-findeisen-process,,,,https://en.wikipedia.org/wiki/Wegener%E2%80%93Bergeron%E2%80%93Findeisen_process
biogenesis,biogenesis,biogenesis,,,,
biopoiesis,biopoiesis,biopoiesis,,abiogenesis,,https://en.wikipedia.org/wiki/Abiogenesis
black-hole,black-hole,black-hole,,,,https://en.wikipedia.org/wiki/Black_hole
bond,bond,bond,,,,https://en.wikipedia.org/wiki/Chemical_bond
bond~c-c-c,bond~c-c-c,bond~c-c-c,,,,
bond~c-h,bond~c-h,bond~c-h,,,,https://en.wikipedia.org/wiki/Carbon%E2%80%93hydrogen_bond
bond~h-c-c-h,bond~h-c-c-h,bond~h-c-c-h,,,,
bond~h-h,bond~h-h,bond~h-h,,,,
bond~h-o,bond~h-o,bond~h-o,,,,
bond~h-o-h,bond~h-o-h,bond~h-o-h,,,,
bond~n-n,bond~n-n,bond~n-n,,,,
bond~o-o,bond~o-o,bond~o-o,,,,
canalization,canalization,canalization,canalize-river,,,https://en.wikipedia.org/wiki/River_engineering#Canalization_of_rivers
carpool,carpool,carpool,carpool,,,
cascade,cascade,cascade,cascade,,,
catagenesis,catagenesis,catagenesis,,,,https://en.wikipedia.org/wiki/Catagenesis_(geology)
cementation,cementation,cementation,cement,,,
centralization,centralization,centralization,centralize,,,
centrifugation,centrifugation,centrifugation,centrifuge,,,
cessation,cessation,cessation,cease,,,
channelization,channelization,channelization,channel,,,
chelation,chelation,chelation,chelate,,,
chemigation,chemigation,chemigation,chemigate,,,
chemosynthesis,chemosynthesis,chemosynthesis,chemosynthesize,,,
chirp,chirp,chirp,chirp,,,
chlorination,chlorination,chlorination,chlorinate,,,
circulation,circulation,circulation,circulate,,,
circumnavigation,circumnavigation,circumnavigation,circumnavigate,,,
cirrhosis,cirrhosis,cirrhosis,,,,https://en.wikipedia.org/wiki/Cirrhosis
cladogenesis,cladogenesis,cladogenesis,,,,https://en.wikipedia.org/wiki/Cladogenesis
clearance,clearance,clearance,clear,,,
cleavage,cleavage,cleavage,cleave,,,
closure,closure,closure,close,,,
cloud,cloud,cloud,,,,https://en.wikipedia.org/wiki/Cloud
cloud~convective,cloud~convective,cloud~convective,,,,
cloud~high-type,cloud~high-type,cloud~high-type,,,,"https://en.wikipedia.org/wiki/List_of_cloud_types#High-level_cirriform,_stratocumuliform,_and_stratiform"
cloud~low-type,cloud~low-type,cloud~low-type,,,,"https://en.wikipedia.org/wiki/List_of_cloud_types#Low-level_stratocumuliform,_cumuliform,_and_stratiform"
